title,link,guid,pubDate,description,source
`군검사 도베르만` 오늘(28일) 결방...`훈련일지` 스페셜 대체 편성 - 매일경제,https://www.mk.co.kr/star/broadcasting-service/view/2022/03/277042/,"OrderedDict([('@isPermaLink', 'false'), ('#text', '1264057345')])","Sun, 27 Mar 2022 23:49:42 GMT","<ol><li><a href=""https://www.mk.co.kr/star/broadcasting-service/view/2022/03/277042/"" target=""_blank"">`군검사 도베르만` 오늘(28일) 결방...`훈련일지` 스페셜 대체 편성</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font></li><li><a href=""http://daily.hankooki.com/news/articleView.html?idxno=805438"" target=""_blank"">'군검사 도베르만', 어제 이어 오늘(29일)도 결방 왜?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">데일리한국</font></li><li><a href=""https://news.mt.co.kr/mtview.php?no=2022032810580335265"" target=""_blank"">'군검사 도베르만' 28일 스페셜 방송 대체…29일은 휴방, 이유는?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">머니투데이</font></li><li><a href=""https://www.edaily.co.kr/news/read?newsId=01115206632266272&mediaCodeNo=258"" target=""_blank"">'군검사 도베르만' 오연수, 섬뜩한 악마 본성 드러냈다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이데일리</font></li><li><strong><a href=""https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lCLU5fYUJCRTBuUzdLblZQelZ5Z0FQAQ?oc=5"" target=""_blank"">Google 뉴스에서 전체 콘텐츠 보기</a></strong></li></ol>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"'군검사 도베르만', 오늘(28일) 스페셜 방송…내일은 결방 - 일간스포츠",http://m.isplus.joins.com/news/article/article.aspx?total_id=24216000&ctg=1502&tm=i_ntr_c011&tag=,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiYWh0dHA6Ly9tLmlzcGx1cy5qb2lucy5jb20vbmV3cy9hcnRpY2xlL2FydGljbGUuYXNweD90b3RhbF9pZD0yNDIxNjAwMCZjdGc9MTUwMiZ0bT1pX250cl9jMDExJnRhZz3SAQA')])","Mon, 28 Mar 2022 00:49:00 GMT","<a href=""http://m.isplus.joins.com/news/article/article.aspx?total_id=24216000&ctg=1502&tm=i_ntr_c011&tag="" target=""_blank"">'군검사 도베르만', 오늘(28일) 스페셜 방송…내일은 결방</a>&nbsp;&nbsp;<font color=""#6f6f6f"">일간스포츠</font>","OrderedDict([('@url', 'http://m.isplus.joins.com'), ('#text', '일간스포츠')])"
"[넥스트 레벨] '군검사 도베르만' 김우석, 빌런과 단순함 사이 간극을 메우다 - 서울경제 - 서울경제신문",https://www.sedaily.com/NewsVIew/263K0VHSTS,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiK2h0dHBzOi8vd3d3LnNlZGFpbHkuY29tL05ld3NWSWV3LzI2M0swVkhTVFPSASxodHRwczovL20uc2VkYWlseS5jb20vTmV3c1ZpZXdBbXAvMjYzSzBWSFNUUw')])","Fri, 25 Mar 2022 06:44:37 GMT","<a href=""https://www.sedaily.com/NewsVIew/263K0VHSTS"" target=""_blank"">[넥스트 레벨] '군검사 도베르만' 김우석, 빌런과 단순함 사이 간극을 메우다 - 서울경제</a>&nbsp;&nbsp;<font color=""#6f6f6f"">서울경제신문</font>","OrderedDict([('@url', 'https://www.sedaily.com'), ('#text', '서울경제신문')])"
"어댑터, 안보현·조보아 주연 tvN ‘군검사 도베르만’ 제작지원 - 인천일보",http://www.incheonilbo.com/news/articleView.html?idxno=1135734,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiPmh0dHA6Ly93d3cuaW5jaGVvbmlsYm8uY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xMTM1NzM00gFBaHR0cDovL3d3dy5pbmNoZW9uaWxiby5jb20vbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTExMzU3MzQ')])","Mon, 21 Mar 2022 14:30:00 GMT","<a href=""http://www.incheonilbo.com/news/articleView.html?idxno=1135734"" target=""_blank"">어댑터, 안보현·조보아 주연 tvN ‘군검사 도베르만’ 제작지원</a>&nbsp;&nbsp;<font color=""#6f6f6f"">인천일보</font>","OrderedDict([('@url', 'http://www.incheonilbo.com'), ('#text', '인천일보')])"
"'군검사 도베르만' 박진우, 팔색조 매력의 신스틸러 - 엑스포츠뉴스",https://www.xportsnews.com/article/1553694,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEMG8LMC6QK6FqnVN5NwHyegqGAgEKg8IACoHCAowvJrNATCb-iYwp9egAw')])","Mon, 28 Mar 2022 01:58:13 GMT","<a href=""https://www.xportsnews.com/article/1553694"" target=""_blank"">'군검사 도베르만' 박진우, 팔색조 매력의 신스틸러</a>&nbsp;&nbsp;<font color=""#6f6f6f"">엑스포츠뉴스</font>","OrderedDict([('@url', 'https://www.xportsnews.com'), ('#text', '엑스포츠뉴스')])"
"'군검사 도베르만' 안보현, 위태로운 모습들…왜? - 뉴시스",https://newsis.com/view/?id=NISX20220314_0001792773,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMjAzMTRfMDAwMTc5Mjc3M9IBAA')])","Mon, 14 Mar 2022 08:26:46 GMT","<a href=""https://newsis.com/view/?id=NISX20220314_0001792773"" target=""_blank"">'군검사 도베르만' 안보현, 위태로운 모습들…왜?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">뉴시스</font>","OrderedDict([('@url', 'https://newsis.com'), ('#text', '뉴시스')])"
"론진, 안보현X조보아 주연 tvN '군검사 도베르만' 제작 지원한다 - 데일리안",https://m.dailian.co.kr/news/view/1092045,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiKWh0dHBzOi8vbS5kYWlsaWFuLmNvLmtyL25ld3Mvdmlldy8xMDkyMDQ10gEA')])","Thu, 10 Mar 2022 08:00:00 GMT","<a href=""https://m.dailian.co.kr/news/view/1092045"" target=""_blank"">론진, 안보현X조보아 주연 tvN '군검사 도베르만' 제작 지원한다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">데일리안</font>","OrderedDict([('@url', 'https://m.dailian.co.kr'), ('#text', '데일리안')])"
"쎄이, `군검사 도베르만` OST 조보아 테마 불렀다 - 매일경제",https://www.mk.co.kr/star/musics/view/2022/03/239824/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvbXVzaWNzL3ZpZXcvMjAyMi8wMy8yMzk4MjQv0gE3aHR0cHM6Ly9tLm1rLmNvLmtyL3N0YXIvbXVzaWNzL3ZpZXctYW1wLzIwMjIvMDMvMjM5ODI0Lw')])","Tue, 15 Mar 2022 07:00:00 GMT","<a href=""https://www.mk.co.kr/star/musics/view/2022/03/239824/"" target=""_blank"">쎄이, `군검사 도베르만` OST 조보아 테마 불렀다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
'악의 마음을 읽는자' '군검사 도베르만'...실화 다룬 장르물 흥행 - 아시아투데이,https://www.asiatoday.co.kr/view.php?key=20220313010006566,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOmh0dHBzOi8vd3d3LmFzaWF0b2RheS5jby5rci92aWV3LnBocD9rZXk9MjAyMjAzMTMwMTAwMDY1NjbSAQA')])","Sun, 13 Mar 2022 01:16:54 GMT","<a href=""https://www.asiatoday.co.kr/view.php?key=20220313010006566"" target=""_blank"">'악의 마음을 읽는자' '군검사 도베르만'...실화 다룬 장르물 흥행</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아시아투데이</font>","OrderedDict([('@url', 'https://www.asiatoday.co.kr'), ('#text', '아시아투데이')])"
"국카스텐 하현우, ‘군검사 도베르만’ OST 첫 주자 확정 - 매일경제",https://www.mk.co.kr/star/musics/view/2022/03/213029/,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiNWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3N0YXIvbXVzaWNzL3ZpZXcvMjAyMi8wMy8yMTMwMjkv0gE3aHR0cHM6Ly9tLm1rLmNvLmtyL3N0YXIvbXVzaWNzL3ZpZXctYW1wLzIwMjIvMDMvMjEzMDI5Lw')])","Mon, 07 Mar 2022 08:00:00 GMT","<a href=""https://www.mk.co.kr/star/musics/view/2022/03/213029/"" target=""_blank"">국카스텐 하현우, ‘군검사 도베르만’ OST 첫 주자 확정</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제</font>","OrderedDict([('@url', 'https://www.mk.co.kr'), ('#text', '매일경제')])"
"옐로(YELO), 드라마 ‘군검사 도베르만’ OST ‘Ignite’ 발매 - 내외뉴스통신",http://www.nbnnews.co.kr/news/articleView.html?idxno=664252,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEBtpkbMLjaLqC2ZO4nLjrZcqMwgEKioIACIQiWDEesahDldtH3N_vL1MWSoUCAoiEIlgxHrGoQ5XbR9zf7y9TFkwzqyzBw')])","Tue, 22 Mar 2022 13:12:03 GMT","<a href=""http://www.nbnnews.co.kr/news/articleView.html?idxno=664252"" target=""_blank"">옐로(YELO), 드라마 ‘군검사 도베르만’ OST ‘Ignite’ 발매</a>&nbsp;&nbsp;<font color=""#6f6f6f"">내외뉴스통신</font>","OrderedDict([('@url', 'http://www.nbnnews.co.kr'), ('#text', '내외뉴스통신')])"
"'군검사 도베르만' 류성록, 탄탄한 연기력으로 시청자 눈도장 '반전 매력' - 문화뉴스",https://www.mhns.co.kr/news/articleView.html?idxno=522407,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiOWh0dHBzOi8vd3d3Lm1obnMuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTUyMjQwN9IBAA')])","Wed, 02 Mar 2022 08:00:00 GMT","<a href=""https://www.mhns.co.kr/news/articleView.html?idxno=522407"" target=""_blank"">'군검사 도베르만' 류성록, 탄탄한 연기력으로 시청자 눈도장 '반전 매력'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화뉴스</font>","OrderedDict([('@url', 'https://www.mhns.co.kr'), ('#text', '문화뉴스')])"
"'군검사 도베르만' 첫 타이틀롤 안보현, 시청률·화제성 견인 톡톡 - 일간스포츠",http://m.isplus.joins.com/news/article/article.aspx?total_id=24214368,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CBMiRWh0dHA6Ly9tLmlzcGx1cy5qb2lucy5jb20vbmV3cy9hcnRpY2xlL2FydGljbGUuYXNweD90b3RhbF9pZD0yNDIxNDM2ONIBAA')])","Wed, 23 Mar 2022 01:07:00 GMT","<a href=""http://m.isplus.joins.com/news/article/article.aspx?total_id=24214368"" target=""_blank"">'군검사 도베르만' 첫 타이틀롤 안보현, 시청률·화제성 견인 톡톡</a>&nbsp;&nbsp;<font color=""#6f6f6f"">일간스포츠</font>","OrderedDict([('@url', 'http://m.isplus.joins.com'), ('#text', '일간스포츠')])"
"'군검사 도베르만' 김영민, '카리스마X아우라' 완벽 욕망캐 탄생 - 한국경제TV",https://m.wowtv.co.kr/NewsCenter/News/Read?articleId=A202203010015,"OrderedDict([('@isPermaLink', 'false'), ('#text', 'CAIiEILtraSNizxCja6gIoVNxswqGQgEKhAIACoHCAow3rPdCjDwzdEBMLjs8QU')])","Tue, 01 Mar 2022 08:00:00 GMT","<a href=""https://m.wowtv.co.kr/NewsCenter/News/Read?articleId=A202203010015"" target=""_blank"">'군검사 도베르만' 김영민, '카리스마X아우라' 완벽 욕망캐 탄생</a>&nbsp;&nbsp;<font color=""#6f6f6f"">한국경제TV</font>","OrderedDict([('@url', 'https://m.wowtv.co.kr'), ('#text', '한국경제TV')])"
